ID,Species,Scientific.Name
1617,Gray Trembler,Cinclocerthia gutturalis
1618,Curve-billed Thrasher,Toxostoma curvirostre
1619,Ocellated Thrasher,Toxostoma ocellatum
1620,Brown Thrasher,Toxostoma rufum
1621,Long-billed Thrasher,Toxostoma longirostre
1622,Cozumel Thrasher,Toxostoma guttatum
1623,Bendire's Thrasher,Toxostoma bendirei
1624,Gray Thrasher,Toxostoma cinereum
1625,California Thrasher,Toxostoma redivivum
1626,LeConte's Thrasher,Toxostoma lecontei
1627,Crissal Thrasher,Toxostoma crissale
1628,Sage Thrasher,Oreoscoptes montanus
1629,Bahama Mockingbird,Mimus gundlachii
1630,Socorro Mockingbird,Mimus graysoni
1631,Tropical Mockingbird,Mimus gilvus
1632,Northern Mockingbird,Mimus polyglottos
1633,European Starling,Sturnus vulgaris
1634,Common Myna,Acridotheres tristis
1635,Hill Myna,Gracula religiosa
1636,Bohemian Waxwing,Bombycilla garrulus
1637,Cedar Waxwing,Bombycilla cedrorum
1638,Kauai Oo,Moho braccatus
1639,Oahu Oo,Moho apicalis
1640,Bishop's Oo,Moho bishopi
1641,Hawaii Oo,Moho nobilis
1642,Kioea,Chaetoptila angustipluma
1643,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
1644,Gray Silky-flycatcher,Ptiliogonys cinereus
1645,Long-tailed Silky-flycatcher,Ptiliogonys caudatus
1646,Phainopepla,Phainopepla nitens
1647,Palmchat,Dulus dominicus
1648,Olive Warbler,Peucedramus taeniatus
1649,Siberian Accentor,Prunella montanella
1650,Village Weaver,Ploceus cucullatus
1651,Northern Red Bishop,Euplectes franciscanus
1652,Yellow-crowned Bishop,Euplectes afer
1653,Pin-tailed Whydah,Vidua macroura
1654,Red-cheeked Cordonbleu,Uraeginthus bengalus
1655,Lavender Waxbill,Estrilda caerulescens
1656,Orange-cheeked Waxbill,Estrilda melpoda
1657,Black-rumped Waxbill,Estrilda troglodytes
1658,Common Waxbill,Estrilda astrild
1659,Red Avadavat,Amandava amandava
1660,Bronze Mannikin,Spermestes cucullata
1661,Indian Silverbill,Euodice malabarica
1662,African Silverbill,Euodice cantans
1663,Java Sparrow,Lonchura oryzivora
1664,Scaly-breasted Munia,Lonchura punctulata
1665,Tricolored Munia,Lonchura malacca
1666,Chestnut Munia,Lonchura atricapilla
1667,House Sparrow,Passer domesticus
1668,Eurasian Tree Sparrow,Passer montanus
1669,Eastern Yellow Wagtail,Motacilla tschutschensis
1670,Citrine Wagtail,Motacilla citreola
1671,Gray Wagtail,Motacilla cinerea
1672,White Wagtail,Motacilla alba
1673,Tree Pipit,Anthus trivialis
1674,Olive-backed Pipit,Anthus hodgsoni
1675,Pechora Pipit,Anthus gustavi
1676,Red-throated Pipit,Anthus cervinus
1677,American Pipit,Anthus rubescens
1678,Meadow Pipit,Anthus pratensis
1679,Sprague's Pipit,Anthus spragueii
1680,Yellowish Pipit,Anthus lutescens
1681,Common Chaffinch,Fringilla coelebs
1682,Brambling,Fringilla montifringilla
1683,Yellow-collared Chlorophonia,Chlorophonia flavirostris
1684,Blue-crowned Chlorophonia,Chlorophonia occipitalis
1685,Golden-browed Chlorophonia,Chlorophonia callophrys
1686,Jamaican Euphonia,Euphonia jamaica
1687,Scrub Euphonia,Euphonia affinis
1688,Yellow-crowned Euphonia,Euphonia luteicapilla
1689,Thick-billed Euphonia,Euphonia laniirostris
1690,Yellow-throated Euphonia,Euphonia hirundinacea
1691,Antillean Euphonia,Euphonia musica
1692,Elegant Euphonia,Euphonia elegantissima
1693,Fulvous-vented Euphonia,Euphonia fulvicrissa
1694,Spot-crowned Euphonia,Euphonia imitans
1695,Olive-backed Euphonia,Euphonia gouldi
1696,White-vented Euphonia,Euphonia minuta
1697,Tawny-capped Euphonia,Euphonia anneae
1698,Orange-bellied Euphonia,Euphonia xanthogaster
1699,Hooded Grosbeak,Coccothraustes abeillei
1700,Evening Grosbeak,Coccothraustes vespertinus
1701,Hawfinch,Coccothraustes coccothraustes
1702,Common Rosefinch,Carpodacus erythrinus
1703,Poo-uli,Melamprosops phaeosoma
1704,Akikiki,Oreomystis bairdi
1705,Oahu Alauahio,Paroreomyza maculata
1706,Kakawahie,Paroreomyza flammea
1707,Maui Alauahio,Paroreomyza montana
1708,Palila,Loxioides bailleui
1709,Laysan Finch,Telespiza cantans
1710,Nihoa Finch,Telespiza ultima
1711,Kona Grosbeak,Chloridops kona
1712,Lesser Koa-Finch,Rhodacanthis flaviceps
1713,Greater Koa-Finch,Rhodacanthis palmeri
1714,Ula-ai-hawane,Ciridops anna
1715,Akohekohe,Palmeria dolei
1716,Laysan Honeycreeper,Himatione fraithii
1717,Apapane,Himatione sanguinea
1718,Iiwi,Drepanis coccinea
1719,Hawaii Mamo,Drepanis pacifica
1720,Black Mamo,Drepanis funerea
1721,Ou,Psittirostra psittacea
1722,Lanai Hookbill,Dysmorodrepanis munroi
1723,Maui Parrotbill,Pseudonestor xanthophrys
1724,Kauai Nukupuu,Hemignathus hanapepe
1725,Oahu Nukupuu,Hemignathus lucidus
1726,Maui Nukupuu,Hemignathus affinis
1727,Akiapolaau,Hemignathus wilsoni
1728,Lesser Akialoa,Akialoa obscura
1729,Kauai Akialoa,Akialoa stejnegeri
1730,Oahu Akialoa,Akialoa ellisiana
1731,Maui-nui Akialoa,Akialoa lanaiensis
1732,Anianiau,Magumma parva
1733,Hawaii Amakihi,Chlorodrepanis virens
1734,Oahu Amakihi,Chlorodrepanis flava
1735,Kauai Amakihi,Chlorodrepanis stejnegeri
1736,Greater Amakihi,Viridonia sagittirostris
1737,Hawaii Creeper,Loxops mana
1738,Akekee,Loxops caeruleirostris
1739,Oahu Akepa,Loxops wolstenholmei
1740,Maui Akepa,Loxops ochraceus
1741,Hawaii Akepa,Loxops coccineus
1742,Pine Grosbeak,Pinicola enucleator
1743,Eurasian Bullfinch,Pyrrhula pyrrhula
1744,Asian Rosy-Finch,Leucosticte arctoa
1745,Gray-crowned Rosy-Finch,Leucosticte tephrocotis
1746,Black Rosy-Finch,Leucosticte atrata
1747,Brown-capped Rosy-Finch,Leucosticte australis
1748,House Finch,Haemorhous mexicanus
1749,Purple Finch,Haemorhous purpureus
1750,Cassin's Finch,Haemorhous cassinii
1751,Oriental Greenfinch,Chloris sinica
1752,Yellow-fronted Canary,Crithagra mozambica
1753,Common Redpoll,Acanthis flammea
1754,Lesser Redpoll,Acanthis cabaret
1755,Hoary Redpoll,Acanthis hornemanni
1756,Red Crossbill,Loxia curvirostra
1757,Cassia Crossbill,Loxia sinesciuris
1758,Hispaniolan Crossbill,Loxia megaplaga
1759,White-winged Crossbill,Loxia leucoptera
1760,European Goldfinch,Carduelis carduelis
1761,Eurasian Siskin,Spinus spinus
1762,Pine Siskin,Spinus pinus
1763,Black-capped Siskin,Spinus atriceps
1764,Black-headed Siskin,Spinus notatus
1765,Yellow-bellied Siskin,Spinus xanthogastrus
1766,Red Siskin,Spinus cucullatus
1767,Antillean Siskin,Spinus dominicensis
1768,Lesser Goldfinch,Spinus psaltria
1769,Lawrence's Goldfinch,Spinus lawrencei
1770,American Goldfinch,Spinus tristis
1771,Island Canary,Serinus canaria
1772,Lapland Longspur,Calcarius lapponicus
1773,Chestnut-collared Longspur,Calcarius ornatus
1774,Smith's Longspur,Calcarius pictus
1775,McCown's Longspur,Rhynchophanes mccownii
1776,Snow Bunting,Plectrophenax nivalis
1777,McKay's Bunting,Plectrophenax hyperboreus
1778,Rosy Thrush-Tanager,Rhodinocichla rosea
1779,Pine Bunting,Emberiza leucocephalos
1780,Yellow-browed Bunting,Emberiza chrysophrys
1781,Little Bunting,Emberiza pusilla
1782,Rustic Bunting,Emberiza rustica
1783,Yellow-throated Bunting,Emberiza elegans
1784,Yellow-breasted Bunting,Emberiza aureola
1785,Gray Bunting,Emberiza variabilis
1786,Pallas's Bunting,Emberiza pallasi
1787,Reed Bunting,Emberiza schoeniclus
1788,Yellow-thighed Finch,Pselliophorus tibialis
1789,Yellow-green Finch,Pselliophorus luteoviridis
1790,Large-footed Finch,Pezopetes capitalis
1791,Orange-billed Sparrow,Arremon aurantiirostris
1792,Sooty-faced Finch,Arremon crassirostris
1793,Chestnut-capped Brushfinch,Arremon brunneinucha
1794,Green-striped Brushfinch,Arremon virenticeps
1795,Costa Rican Brushfinch,Arremon costaricensis
1796,Black-headed Brushfinch,Arremon atricapillus
1797,Olive Sparrow,Arremonops rufivirgatus
1798,Green-backed Sparrow,Arremonops chloronotus
1799,Black-striped Sparrow,Arremonops conirostris
1800,White-naped Brushfinch,Atlapetes albinucha
1801,Rufous-capped Brushfinch,Atlapetes pileatus
1802,Collared Towhee,Pipilo ocai
1803,Green-tailed Towhee,Pipilo chlorurus
1804,Spotted Towhee,Pipilo maculatus
1805,Eastern Towhee,Pipilo erythrophthalmus
1806,Rusty Sparrow,Aimophila rufescens
1807,Rufous-crowned Sparrow,Aimophila ruficeps
1808,Oaxaca Sparrow,Aimophila notosticta
1809,White-eared Ground-Sparrow,Melozone leucotis
1810,White-faced Ground-Sparrow,Melozone biarcuata
1811,Cabanis's Ground-Sparrow,Melozone cabanisi
1812,Rusty-crowned Ground-Sparrow,Melozone kieneri
1813,Canyon Towhee,Melozone fusca
1814,White-throated Towhee,Melozone albicollis
1815,California Towhee,Melozone crissalis
1816,Abert's Towhee,Melozone aberti
1817,Cinnamon-tailed Sparrow,Peucaea sumichrasti
1818,Rufous-winged Sparrow,Peucaea carpalis
1819,Stripe-headed Sparrow,Peucaea ruficauda
1820,Black-chested Sparrow,Peucaea humeralis
1821,Bridled Sparrow,Peucaea mystacalis
1822,Botteri's Sparrow,Peucaea botterii
1823,Cassin's Sparrow,Peucaea cassinii
1824,Bachman's Sparrow,Peucaea aestivalis
1825,Striped Sparrow,Oriturus superciliosus
1826,Zapata Sparrow,Torreornis inexpectata
1827,American Tree Sparrow,Spizelloides arborea
1828,Chipping Sparrow,Spizella passerina
1829,Clay-colored Sparrow,Spizella pallida
1830,Brewer's Sparrow,Spizella breweri
1831,Field Sparrow,Spizella pusilla
1832,Worthen's Sparrow,Spizella wortheni
1833,Black-chinned Sparrow,Spizella atrogularis
1834,Vesper Sparrow,Pooecetes gramineus
1835,Lark Sparrow,Chondestes grammacus
1836,Five-striped Sparrow,Amphispiza quinquestriata
1837,Black-throated Sparrow,Amphispiza bilineata
1838,Sagebrush Sparrow,Artemisiospiza nevadensis
1839,Bell's Sparrow,Artemisiospiza belli
1840,Lark Bunting,Calamospiza melanocorys
1841,Savannah Sparrow,Passerculus sandwichensis
1842,Grasshopper Sparrow,Ammodramus savannarum
1843,Baird's Sparrow,Ammodramus bairdii
1844,Henslow's Sparrow,Ammodramus henslowii
1845,LeConte's Sparrow,Ammodramus leconteii
1846,Nelson's Sparrow,Ammodramus nelsoni
1847,Saltmarsh Sparrow,Ammodramus caudacutus
1848,Seaside Sparrow,Ammodramus maritimus
1849,Sierra Madre Sparrow,Xenospiza baileyi
1850,Fox Sparrow,Passerella iliaca
1851,Song Sparrow,Melospiza melodia
1852,Lincoln's Sparrow,Melospiza lincolnii
1853,Swamp Sparrow,Melospiza georgiana
1854,Rufous-collared Sparrow,Zonotrichia capensis
1855,White-throated Sparrow,Zonotrichia albicollis
1856,Harris's Sparrow,Zonotrichia querula
1857,White-crowned Sparrow,Zonotrichia leucophrys
1858,Golden-crowned Sparrow,Zonotrichia atricapilla
1859,Volcano Junco,Junco vulcani
1860,Dark-eyed Junco,Junco hyemalis
1861,Guadalupe Junco,Junco insularis
1862,Yellow-eyed Junco,Junco phaeonotus
1863,Baird's Junco,Junco bairdi
1864,Common Chlorospingus,Chlorospingus flavopectus
1865,Tacarcuna Chlorospingus,Chlorospingus tacarcunae
1866,Pirre Chlorospingus,Chlorospingus inornatus
1867,Sooty-capped Chlorospingus,Chlorospingus pileatus
1868,Yellow-throated Chlorospingus,Chlorospingus flavigularis
1869,Ashy-throated Chlorospingus,Chlorospingus canigularis
1870,Western Chat-Tanager,Calyptophilus tertius
1871,Eastern Chat-Tanager,Calyptophilus frugivorus
1872,Black-crowned Palm-Tanager,Phaenicophilus palmarum
1873,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus
1874,White-winged Warbler,Xenoligea montana
1875,Green-tailed Warbler,Microligea palustris
1876,Puerto Rican Tanager,Nesospingus speculiferus
1877,Western Spindalis,Spindalis zena
1878,Jamaican Spindalis,Spindalis nigricephala
1879,Hispaniolan Spindalis,Spindalis dominicensis
1880,Puerto Rican Spindalis,Spindalis portoricensis
1881,Wrenthrush,Zeledonia coronata
1882,Yellow-headed Warbler,Teretistris fernandinae
1883,Oriente Warbler,Teretistris fornsi
1884,Yellow-breasted Chat,Icteria virens
1885,Yellow-headed Blackbird,Xanthocephalus xanthocephalus
1886,Bobolink,Dolichonyx oryzivorus
1887,Eastern Meadowlark,Sturnella magna
1888,Western Meadowlark,Sturnella neglecta
1889,Red-breasted Blackbird,Leistes militaris
1890,Yellow-billed Cacique,Amblycercus holosericeus
1891,Yellow-winged Cacique,Cassiculus melanicterus
1892,Crested Oropendola,Psarocolius decumanus
1893,Chestnut-headed Oropendola,Psarocolius wagleri
1894,Montezuma Oropendola,Psarocolius montezuma
1895,Black Oropendola,Psarocolius guatimozinus
1896,Scarlet-rumped Cacique,Cacicus uropygialis
1897,Yellow-rumped Cacique,Cacicus cela
1898,Bahama Oriole,Icterus northropi
1899,Cuban Oriole,Icterus melanopsis
1900,Hispaniolan Oriole,Icterus dominicensis
1901,Puerto Rican Oriole,Icterus portoricensis
1902,St. Lucia Oriole,Icterus laudabilis
1903,Montserrat Oriole,Icterus oberi
1904,Martinique Oriole,Icterus bonana
1905,Black-vented Oriole,Icterus wagleri
1906,Bar-winged Oriole,Icterus maculialatus
1907,Black-cowled Oriole,Icterus prosthemelas
1908,Orchard Oriole,Icterus spurius
1909,Hooded Oriole,Icterus cucullatus
1910,Yellow-backed Oriole,Icterus chrysater
1911,Orange-crowned Oriole,Icterus auricapillus
1912,Yellow-tailed Oriole,Icterus mesomelas
1913,Venezuelan Troupial,Icterus icterus
1914,Streak-backed Oriole,Icterus pustulatus
1915,Bullock's Oriole,Icterus bullockii
1916,Orange Oriole,Icterus auratus
1917,Jamaican Oriole,Icterus leucopteryx
1918,Spot-breasted Oriole,Icterus pectoralis
1919,Altamira Oriole,Icterus gularis
1920,Audubon's Oriole,Icterus graduacauda
1921,Baltimore Oriole,Icterus galbula
1922,Black-backed Oriole,Icterus abeillei
1923,Scott's Oriole,Icterus parisorum
1924,Jamaican Blackbird,Nesopsar nigerrimus
1925,Red-winged Blackbird,Agelaius phoeniceus
1926,Red-shouldered Blackbird,Agelaius assimilis
1927,Tricolored Blackbird,Agelaius tricolor
1928,Tawny-shouldered Blackbird,Agelaius humeralis
1929,Yellow-shouldered Blackbird,Agelaius xanthomus
1930,Shiny Cowbird,Molothrus bonariensis
1931,Bronzed Cowbird,Molothrus aeneus
1932,Brown-headed Cowbird,Molothrus ater
1933,Giant Cowbird,Molothrus oryzivorus
1934,Melodious Blackbird,Dives dives
1935,Cuban Blackbird,Ptiloxena atroviolacea
1936,Rusty Blackbird,Euphagus carolinus
1937,Brewer's Blackbird,Euphagus cyanocephalus
1938,Common Grackle,Quiscalus quiscula
1939,Boat-tailed Grackle,Quiscalus major
1940,Great-tailed Grackle,Quiscalus mexicanus
1941,Slender-billed Grackle,Quiscalus palustris
1942,Nicaraguan Grackle,Quiscalus nicaraguensis
1943,Greater Antillean Grackle,Quiscalus niger
1944,Carib Grackle,Quiscalus lugubris
1945,Yellow-hooded Blackbird,Chrysomus icterocephalus
1946,Ovenbird,Seiurus aurocapilla
1947,Worm-eating Warbler,Helmitheros vermivorum
1948,Louisiana Waterthrush,Parkesia motacilla
1949,Northern Waterthrush,Parkesia noveboracensis
1950,Bachman's Warbler,Vermivora bachmanii
1951,Golden-winged Warbler,Vermivora chrysoptera
1952,Blue-winged Warbler,Vermivora cyanoptera
1953,Black-and-white Warbler,Mniotilta varia
1954,Prothonotary Warbler,Protonotaria citrea
1955,Swainson's Warbler,Limnothlypis swainsonii
1956,Crescent-chested Warbler,Oreothlypis superciliosa
1957,Flame-throated Warbler,Oreothlypis gutturalis
1958,Tennessee Warbler,Oreothlypis peregrina
1959,Orange-crowned Warbler,Oreothlypis celata
1960,Colima Warbler,Oreothlypis crissalis
1961,Lucy's Warbler,Oreothlypis luciae
1962,Nashville Warbler,Oreothlypis ruficapilla
1963,Virginia's Warbler,Oreothlypis virginiae
1964,Semper's Warbler,Leucopeza semperi
1965,Connecticut Warbler,Oporornis agilis
1966,Gray-crowned Yellowthroat,Geothlypis poliocephala
1967,Masked Yellowthroat,Geothlypis aequinoctialis
1968,MacGillivray's Warbler,Geothlypis tolmiei
1969,Mourning Warbler,Geothlypis philadelphia
1970,Kentucky Warbler,Geothlypis formosa
1971,Olive-crowned Yellowthroat,Geothlypis semiflava
1972,Black-polled Yellowthroat,Geothlypis speciosa
1973,Belding's Yellowthroat,Geothlypis beldingi
1974,Bahama Yellowthroat,Geothlypis rostrata
1975,Altamira Yellowthroat,Geothlypis flavovelata
1976,Common Yellowthroat,Geothlypis trichas
1977,Hooded Yellowthroat,Geothlypis nelsoni
1978,Whistling Warbler,Catharopeza bishopi
1979,Plumbeous Warbler,Setophaga plumbea
1980,Elfin-woods Warbler,Setophaga angelae
1981,Arrowhead Warbler,Setophaga pharetra
1982,Hooded Warbler,Setophaga citrina
1983,American Redstart,Setophaga ruticilla
1984,Kirtland's Warbler,Setophaga kirtlandii
1985,Cape May Warbler,Setophaga tigrina
1986,Cerulean Warbler,Setophaga cerulea
1987,Northern Parula,Setophaga americana
1988,Tropical Parula,Setophaga pitiayumi
1989,Magnolia Warbler,Setophaga magnolia
1990,Bay-breasted Warbler,Setophaga castanea
1991,Blackburnian Warbler,Setophaga fusca
1992,Yellow Warbler,Setophaga petechia
1993,Chestnut-sided Warbler,Setophaga pensylvanica
1994,Blackpoll Warbler,Setophaga striata
1995,Black-throated Blue Warbler,Setophaga caerulescens
1996,Palm Warbler,Setophaga palmarum
1997,Olive-capped Warbler,Setophaga pityophila
1998,Pine Warbler,Setophaga pinus
1999,Yellow-rumped Warbler,Setophaga coronata
2000,Yellow-throated Warbler,Setophaga dominica
2001,Bahama Warbler,Setophaga flavescens
2002,Vitelline Warbler,Setophaga vitellina
2003,Prairie Warbler,Setophaga discolor
2004,Adelaide's Warbler,Setophaga adelaidae
2005,Barbuda Warbler,Setophaga subita
2006,St. Lucia Warbler,Setophaga delicata
2007,Grace's Warbler,Setophaga graciae
2008,Black-throated Gray Warbler,Setophaga nigrescens
2009,Townsend's Warbler,Setophaga townsendi
2010,Hermit Warbler,Setophaga occidentalis
2011,Golden-cheeked Warbler,Setophaga chrysoparia
2012,Black-throated Green Warbler,Setophaga virens
2013,Buff-rumped Warbler,Myiothlypis fulvicauda
2014,Fan-tailed Warbler,Basileuterus lachrymosus
2015,Rufous-capped Warbler,Basileuterus rufifrons
2016,Black-cheeked Warbler,Basileuterus melanogenys
2017,Pirre Warbler,Basileuterus ignotus
2018,Golden-browed Warbler,Basileuterus belli
2019,Golden-crowned Warbler,Basileuterus culicivorus
2020,Costa Rican Warbler,Basileuterus melanotis
2021,Tacarcuna Warbler,Basileuterus tacarcunae
2022,Canada Warbler,Cardellina canadensis
2023,Wilson's Warbler,Cardellina pusilla
2024,Red-faced Warbler,Cardellina rubrifrons
2025,Red Warbler,Cardellina rubra
2026,Pink-headed Warbler,Cardellina versicolor
2027,Painted Redstart,Myioborus pictus
2028,Slate-throated Redstart,Myioborus miniatus
2029,Collared Redstart,Myioborus torquatus
2030,Dusky-faced Tanager,Mitrospingus cassinii
2031,Rose-throated Tanager,Piranga roseogularis
2032,Hepatic Tanager,Piranga flava
2033,Summer Tanager,Piranga rubra
2034,Scarlet Tanager,Piranga olivacea
2035,Western Tanager,Piranga ludoviciana
2036,Flame-colored Tanager,Piranga bidentata
2037,White-winged Tanager,Piranga leucoptera
2038,Red-headed Tanager,Piranga erythrocephala
2039,Red-crowned Ant-Tanager,Habia rubica
2040,Red-throated Ant-Tanager,Habia fuscicauda
2041,Black-cheeked Ant-Tanager,Habia atrimaxillaris
2042,Carmiol's Tanager,Chlorothraupis carmioli
2043,Lemon-spectacled Tanager,Chlorothraupis olivacea
2044,Black-faced Grosbeak,Caryothraustes poliogaster
2045,Yellow-green Grosbeak,Caryothraustes canadensis
2046,Crimson-collared Grosbeak,Rhodothraupis celaeno
2047,Northern Cardinal,Cardinalis cardinalis
2048,Pyrrhuloxia,Cardinalis sinuatus
2049,Yellow Grosbeak,Pheucticus chrysopeplus
2050,Black-thighed Grosbeak,Pheucticus tibialis
2051,Rose-breasted Grosbeak,Pheucticus ludovicianus
2052,Black-headed Grosbeak,Pheucticus melanocephalus
2053,Red-breasted Chat,Granatellus venustus
2054,Gray-throated Chat,Granatellus sallaei
2055,Blue Seedeater,Amaurospiza concolor
2056,Blue-black Grosbeak,Cyanocompsa cyanoides
2057,Blue Bunting,Cyanocompsa parellina
2058,Blue Grosbeak,Passerina caerulea
2059,Lazuli Bunting,Passerina amoena
2060,Indigo Bunting,Passerina cyanea
2061,Rose-bellied Bunting,Passerina rositae
2062,Orange-breasted Bunting,Passerina leclancherii
2063,Varied Bunting,Passerina versicolor
2064,Painted Bunting,Passerina ciris
2065,Dickcissel,Spiza americana
2066,Blue-and-gold Tanager,Bangsia arcaei
2067,Red-crested Cardinal,Paroaria coronata
2068,Yellow-billed Cardinal,Paroaria capitata
2069,Blue-gray Tanager,Thraupis episcopus
2070,Yellow-winged Tanager,Thraupis abbas
2071,Palm Tanager,Thraupis palmarum
2072,Gray-and-gold Tanager,Tangara palmeri
2073,Azure-rumped Tanager,Tangara cabanisi
2074,Lesser Antillean Tanager,Tangara cucullata
2075,Golden-hooded Tanager,Tangara larvata
2076,Speckled Tanager,Tangara guttata
2077,Green-naped Tanager,Tangara fucosa
2078,Spangle-cheeked Tanager,Tangara dowii
2079,Plain-colored Tanager,Tangara inornata
2080,Rufous-winged Tanager,Tangara lavinia
2081,Bay-headed Tanager,Tangara gyrola
2082,Emerald Tanager,Tangara florida
2083,Silver-throated Tanager,Tangara icterocephala
2084,White-eared Conebill,Conirostrum leucogenys
2085,Saffron Finch,Sicalis flaveola
2086,Grassland Yellow-Finch,Sicalis luteola
2087,Slaty Finch,Haplospiza rustica
2088,Peg-billed Finch,Acanthidops bairdi
2089,Cinnamon-bellied Flowerpiercer,Diglossa baritula
2090,Slaty Flowerpiercer,Diglossa plumbea
2091,Green Honeycreeper,Chlorophanes spiza
2092,Black-and-yellow Tanager,Chrysothlypis chrysomelas
2093,Sulphur-rumped Tanager,Heterospingus rubrifrons
2094,Scarlet-browed Tanager,Heterospingus xanthopygius
2095,Yellow-backed Tanager,Hemithraupis flavicollis
2096,Blue-black Grassquit,Volatinia jacarina
2097,Gray-headed Tanager,Eucometis penicillata
2098,White-shouldered Tanager,Tachyphonus luctuosus
2099,Tawny-crested Tanager,Tachyphonus delatrii
2100,White-lined Tanager,Tachyphonus rufus
2101,Black-throated Shrike-Tanager,Lanio aurantius
2102,White-throated Shrike-Tanager,Lanio leucothorax
2103,Crimson-collared Tanager,Ramphocelus sanguinolentus
2104,Flame-rumped Tanager,Ramphocelus flammigerus
2105,Passerini's Tanager,Ramphocelus passerinii
2106,Cherrie's Tanager,Ramphocelus costaricensis
2107,Crimson-backed Tanager,Ramphocelus dimidiatus
2108,Swallow Tanager,Tersina viridis
2109,Shining Honeycreeper,Cyanerpes lucidus
2110,Purple Honeycreeper,Cyanerpes caeruleus
2111,Red-legged Honeycreeper,Cyanerpes cyaneus
2112,Scarlet-thighed Dacnis,Dacnis venusta
2113,Blue Dacnis,Dacnis cayana
2114,Viridian Dacnis,Dacnis viguieri
2115,Bananaquit,Coereba flaveola
2116,Cuban Grassquit,Tiaris canorus
2117,Yellow-faced Grassquit,Tiaris olivaceus
2118,Black-faced Grassquit,Tiaris bicolor
2119,Orangequit,Euneornis campestris
2120,Puerto Rican Bullfinch,Loxigilla portoricensis
2121,Greater Antillean Bullfinch,Loxigilla violacea
2122,Lesser Antillean Bullfinch,Loxigilla noctis
2123,Barbados Bullfinch,Loxigilla barbadensis
2124,Cuban Bullfinch,Melopyrrha nigra
2125,Yellow-shouldered Grassquit,Loxipasser anoxanthus
2126,St. Lucia Black Finch,Melanospiza richardsoni
2127,Cocos Finch,Pinaroloxias inornata
2128,Lined Seedeater,Sporophila lineola
2129,Thick-billed Seed-Finch,Sporophila funerea
2130,Large-billed Seed-Finch,Sporophila crassirostris
2131,Nicaraguan Seed-Finch,Sporophila nuttingi
2132,Variable Seedeater,Sporophila corvina
2133,Slate-colored Seedeater,Sporophila schistacea
2134,White-collared Seedeater,Sporophila torqueola
2135,Yellow-bellied Seedeater,Sporophila nigricollis
2136,Ruddy-breasted Seedeater,Sporophila minuta
2137,Wedge-tailed Grass-Finch,Emberizoides herbicola
2138,Black-headed Saltator,Saltator atriceps
2139,Buff-throated Saltator,Saltator maximus
2140,Slate-colored Grosbeak,Saltator grossus
2141,Lesser Antillean Saltator,Saltator albicollis
2142,Grayish Saltator,Saltator coerulescens
2143,Streaked Saltator,Saltator striatipectus
3000,Greater Necklaced Laughingthrush,Ianthocincla pectoralis
